name,category,address_std,gu,sigu,lat,lng,is_valid_location,COL_ADM_SE,station,station_exit,station_detail,source_file
닉스왁싱,1인샵,서울특별시 강남구 역삼동 837-13 강남대로66길 14,강남구,서울특별시 강남구,37.4917278,127.03184,True,11230.0,,,서울특별시 강남구 역삼동 837-13  (강남대로66길 14),f_clean_naviya.csv
서윤,1인샵 | 마사지 | 스웨디시,서울특별시 송파구 문정동 620 새말로 62,송파구,서울특별시 송파구,37.477699,127.126274,True,11240.0,장지역,장지역 4번출구,장지역 4번출구 도보10분,f_clean_naviya.csv
세인트,1인샵,서울특별시 송파구 문정동 651-6 법원로8길 13,송파구,서울특별시 송파구,37.4816698,127.1206971,True,11240.0,문정역,문정역 3번출구,문정역 3번출구 도보3분,f_clean_naviya.csv
윤아,1인샵 | 스웨디시,서울특별시 송파구 법원로 114,송파구,서울특별시 송파구,37.4816698,127.1206971,True,11240.0,문정역,문정역 3번출구,문정역 3번출구 도보3분,f_clean_naviya.csv
미란다,1인샵 | 로미로미 | 테라피,서울특별시 강남구 대치동,강남구,서울특별시 강남구,37.50459467,127.0500678,False,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보5분,f_clean_naviya.csv
리사,1인샵,서울특별시 서초구 사임당로 178,서초구,서울특별시 서초구,37.4921331,127.0291018,True,11220.0,강남역,강남역 5번출구,강남역 5번출구 도보3분,f_clean_naviya.csv
현이,1인샵,서울특별시 송파구 잠실동 175-12 올림픽로 88,송파구,서울특별시 송파구,37.5114271,127.0805129,True,11240.0,종합운동장역,종합운동장역 9번출구,종합운동장역 9번출구 도보5분,f_clean_naviya.csv
하연이,1인샵 | 테라피,서울특별시 송파구 방이동,송파구,서울특별시 송파구,37.51712755,127.1124198,False,11240.0,몽촌토성역,몽촌토성역 3번출구,몽촌토성역 3번출구 도보3분,f_clean_naviya.csv
이브,1인샵 | 스웨디시,서울특별시 강남구 대치동,강남구,서울특별시 강남구,37.50459467,127.0500678,False,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보3분,f_clean_naviya.csv
와이힐링테라피,1인샵 | 테라피,서울특별시 강남구 역삼동 822-7 테헤란로 113,강남구,서울특별시 강남구,37.5041073,127.0475882,True,11230.0,,,서울특별시 강남구 역삼동 822-7(테헤란로 113),f_clean_naviya.csv
약손 바디테라피,1인샵 | 테라피,서울특별시 송파구 방이동 42 올림픽로34길 5-14,송파구,서울특별시 송파구,37.5161355,127.1113386,True,11240.0,몽촌토성역,몽촌토성역 3번출구,몽촌토성역 3번출구 도보2분,f_clean_naviya.csv
팔네개왁싱,1인샵,서울특별시 송파구 문정동 652 법원로4길 5,송파구,서울특별시 송파구,37.4816698,127.1206971,True,11240.0,문정역,문정역 3번출구,문정역 3번출구 도보6분,f_clean_naviya.csv
루나,1인샵 | 스웨디시 | 아로마,서울특별시 강남구 대치동 890-59 선릉로86길 31,강남구,서울특별시 강남구,37.5041507,127.0520978,True,11230.0,선릉역,선릉역 1번출구,선릉역 1번출구 도보3분,f_clean_naviya.csv
소소,1인샵 | 테라피,서울특별시 강남구 삼성동 봉은사로,강남구,서울특별시 강남구,37.50892045,127.0622661,False,11230.0,삼성역,삼성역 5번출구,삼성역 5번출구 도보6분,f_clean_naviya.csv
썬데이,1인샵 | 스웨디시,서울특별시 강남구 역삼동,강남구,서울특별시 강남구,,,False,11230.0,,,서울특별시 강남구 역삼동,f_clean_naviya.csv
수완,1인샵 | 아로마,서울특별시 서초구 서초동 1580-15 반포대로20길 36,서초구,서울특별시 서초구,37.4879954,127.0118343,True,11220.0,교대역,교대역 14번출구,교대역 14번출구 도보8분 (홈샵:서울,f_clean_naviya.csv
